SN,MID_WID,SAP_New_Code,Nodal
1342,1182441,9200001659,9200001659
1343,1182500,9200001660,9200001660
1344,1181505,9200001731,9200001731
1345,1182414,9200001732,9200001732
1346,1180750,9200001733,9200001733
1347,1180749,9200001734,9200001734
1348,1180906,9200001735,9200001735
1349,1181067,9200001736,9200001736
1350,1181125,9200001737,9200001737
1351,1182492,9200001738,9200001738
1352,1182478,9200001739,9200001739
1353,1181888,9200001741,9200001741
1354,1181922,9200001742,9200001742
1355,1182102,9200001743,9200001743
1356,1182107,9200001744,9200001744
1357,1182316,9200001745,9200001745
1358,1182279,9200001746,9200001746
1359,1182362,9200001747,9200001747
1360,1182376,9200001748,9200001748
1361,1182417,9200001749,9200001749
1362,1182434,9200001750,9200001750
1363,1182436,9200001751,9200001751
1364,1182457,9200001752,9200001752
1365,1182462,9200001753,9200001753
1366,1182465,9200001754,9200001754
1367,1182509,9200001755,9200001755
1368,1182576,9200001756,9200001756
1369,1182561,9200001757,9200001757
1370,1182571,9200001758,9200001758
1371,1176078,9200001759,9200001759
1372,1181487,9200001760,9200001760
1373,1182440,9200001761,9200001761
1374,1182474,9200001762,9200001762
1375,1182498,9200001763,9200001763
1376,1182310,9200001775,9200001775
1377,1182471,9200001776,9200001776
1378,1182626,9200001777,9200001777
1379,1182370,9200001778,9200001778
1380,1182562,9200001779,9200001779
1381,1182586,9200001780,9200001780
1382,1182486,9200001781,9200001781
1383,1182501,9200001782,9200001782
1384,1182506,9200010618,#REF!
1385,1182514,9200001784,9200001784
1386,1182528,9200001785,9200001785
1387,1182581,9200001786,9200001786
1388,1182592,9200001787,9200001787
1389,1179578,9200001788,9200001788
1390,1182168,9200001789,9200001789
1391,1182313,9200001790,9200001790
1392,1182416,9200001791,9200001791
1393,1183101,9200001792,9200001792
1394,1183042,9200001793,9200001793
1395,1183046,9200001794,9200001794
1396,1182700,9200001795,9200001795
1397,1182703,9200001796,9200001796
1398,1182702,9200001797,9200001797
1399,1182778,9200001798,9200001798
1400,1182883,9200001799,9200001799
1401,1182880,9200001800,9200001800
1402,1182900,9200001801,9200001801
1403,1182908,9200001802,9200001802
1404,1182922,9200001803,9200001803
1405,1182879,9200001804,9200001804
1406,1183051,9200001805,9200001805
1407,1183153,9200001815,9200001815
1408,1183152,9200001816,PFC
1409,1183125,9200001817,9200001817
1410,1183151,9200001818,9200001818
1411,1183161,9200001819,9200001819
1412,1183167,9200001820,9200001820
1413,1183139,9200001821,9200001821
1414,1183149,9200001822,9200001822
1415,1183317,9200001823,9200001823
1416,1168342,9200001841,PFC
1417,1174463,9200001842,9200001842
1418,1181884,9200001843,9200001843
1419,1182838,9200001844,9200001844
1420,1182878,9200001845,9200001845
1421,1181480,9200001846,9200001846
1422,1181041,9200001847,9200001847
1423,1182859,9200001849,9200001849
1424,1182941,9200001850,9200001850
1425,1183002,9200001851,9200001851
1426,1181957,9200001852,9200001852
1427,1182378,9200001853,9200001853
1428,1182866,9200001854,9200001854
1429,1182860,9200001855,9200001855
1430,1181994,9200001856,9200001856
1431,1182835,9200001857,9200001857
1432,1182309,9200001858,9200001858
1433,1182886,9200001859,9200001859
1434,1182159,9200001860,9200001860
1435,1182563,9200001861,9200001861
1436,1182628,9200001862,9200001862
1437,1182104,9200001863,9200001863
1438,1182192,9200001864,9200001864
1439,1182650,9200001865,9200001865
1440,1182925,9200001866,9200001866
1441,1182343,9200001867,9200001867
1442,1182619,9200001868,9200001868
1443,1182630,9200001869,9200001869
1444,1182633,9200001870,9200001870
1445,1182901,9200001871,9200001871
1446,1182393,9200001872,9200001872
1447,1182419,9200001873,#REF!
1448,1182420,9200001874,9200001874
1449,1182425,9200001875,9200001875
1450,1182438,9200001876,9200001876
1451,1182499,9200001877,9200001877
1452,1182776,9200001878,9200001878
1453,1182504,9200001879,9200001879
1454,1182505,9200001880,9200001880
1455,1182510,9200001881,#REF!
1456,1182515,9200001883,9200001883
1457,1182518,9200001884,9200001884
1458,1182952,9200001885,9200001885
1459,1182530,9200001886,9200001886
1460,1182564,9200001887,9200001887
1461,1182565,9200001888,9200001888
1462,1182568,9200001889,9200001889
1463,1182742,9200001890,9200001890
